paper, book
town, village
mind, brain
read, learn
board, wood
board, flat
village, land
village, home
feed, eat
glass, cup
glass, window
key, lock
all, together
carry, lift
go, come
pay, money
sleep, bed
sleep, snore
sleep, night
well, water
well, hole
month, moon
good, bad
part, piece
feel, touch
they, people
other, different
between, middle
like, love
like, happy
hold, me
throw, ball
deep, sea
deep, shallow
much, very
match, fire
open, wide
fill, full
age, year
say, speak
say, think
get, want
get, have
rule, government
same, similar
child, mother
year, time
year, month
buy, money
press, bruise
some, many
some, few
never, not
already, again
mother, father
succeed, win
heat, hot
heat, summer
take, steal
two, pair
try, read
own, keep
own, have
fire, leave
fire, match
king, queen
who, what
who, where
who, person
four, five
woman, man
woman, mother
woman, girl
low, down
horse, donkey
near, far
girl, small
walk, run
sun, bright
sun, hot
door, shut
sit, chair
it, that
eat, food
eat, dog
letter, word
far, near
cup, saucer
stand, sit
country, land
fall, hit
begin, start
give, hold
price, money
field, wheat
husband, wife
short, small
evening, night
eight, nine
yesterday, tomorrow
bed, sleep
leave, go
heavy, weight
thursday, friday
thursday, monday
old, man
hit, blood
hit, head
true, good
true, right
what, who
friday, thursday
three, two
boy, nephew
bag, sack
become, grow
become, change
bus, car
no, yes
no, go
leg, arm
leg, ankle
early, morning
hell, hot
law, court
right, left
half, part
catch, fishing
lord, god
idea, thought
idea, brain
wash, rub
protect, keep
next, after
fish, food
thousand, one
red, color
red, blue
arm, leg
hundred, many
wind, cold
heart, blood
heart, life
blood, red
blood, skin
talk, speak
one, two
one, door
find, look
touch, feel
remember, mind
she, he
kid, summer
street, road
where, here
where, when
ready, go
then, and
food, eat
keep, own
rest, recover
when, where
when, time
when, how
die, hard
afternoon, morning
believe, true
down, up
change, left
change, clothes
whole, full
tell, speak
before, after
divide, split
east, west
push, pull
shut, door
bad, good
produce, make
north, south
north, east
north, south
round, ball
red, blood
enter, go
enter, walk
say, mouth
say, open
say, talk
wife, woman
heat, hot
tell, speak
hundred, money
trade, exchange
hot, summer
hot, sun
listen, quiet
they, people
they, who
there, arrive
cut, knife
join, glue
join, marry
in, inside
hear, say
big, one
big, thing
like, love
father, mother
sister, brother
sister, uncle
sister, mother
black, white
black, dark
short, small
people, crowd
language, speak
lord, god
lord, king
study, learn
separate, divorce
hold, embrace
hold, keep
come, home
chair, sit
arm, leg
arm, elbow
month, year
month, time
head, hair
head, brain
remember, forget
shop, store
take, that
which, one
catch, you
today, now
because, why
twenty, two
four, three
law, court
king, queen
boat, ship
watch, look
country, side
yesterday, tomorrow
when, where
when, how
ring, finger
few, many
half, empty
wear, clothes
wear, carry
no, yes
up, down
up, high
up, sky
from, where
bring, give
sing, song
sing, dance
sing, music
again, more
wind, water
woman, man
baby, boy
fall, down
fall, red
hate, black
hate, angry
house, home
pick, choose
divide, separate
stand, sit
measure, weigh
quiet, small
already, now
six, age
field, plain
field, buffalo
laugh, happy
learn, teach
learn, study
walk, move
brother, sibling
brother, sister
horse, animal
east, west
hair, head
yes, good
we, our
night, evening
night, dark
late, after
match, flame
match, fire
now, here
afternoon, midday
afternoon, lunch
and, again
and, what
down, up
i, me
who, what
who, where
who, which
cover, blanket
monday, tuesday
monday, wednesday
same, similar
how, why
how, when
how, where
deep, shallow
white, black
white, snow
tuesday, wednesday
sick, fever
milk, white
teach, learn
teach, teacher
see, do
amount, count
girl, boy
girl, baby
here, there
here, now
near, far
sleep, dream
side, line
change, do
drink, thirsty
drink, eat
more, often
load, heavy
back, neck
dog, cat
more, again
cup, bowl
cup, saucer
dress, clothes
well, water
with, all
bottom, top
two, three
with, together
grow, cultivate
grow, increase
long, length
long, tall
time, clock
sign, omen
hate, anger
word, letter
long, tall
time, clock
name, loud
bad, good
left, right
king, queen
late, night
pay, wages
visit, meet
afternoon, morning
afternoon, evening
north, south
north, mouth
twenty, ten
round, circle
street, road
arm, hand
arm, leg
arm, finger
glass, cup
easy, learn
near, far
seven, ten
warm, hot
lord, god
or, and
people, person
life, time
match, fire
yesterday, tomorrow
after, before
after, post
girl, woman
and, then
and, now
catch, fever
woman, girl
woman, man
bottom, top
she, he
through, hole
bed, sleep
it, that
other, one
because, why
boy, girl
top, up
top, bottom
happy, smile
power, strength
increase, grow
prepare, make
hand, finger
village, town
not, no
what, where
what, which
kill, murder
brother, sister
brother, family
wednesday, tuesday
wednesday, friday
wednesday, thursday
table, chair
wrong, bad
age, two
heat, hot
at, above
where, when
where, why
where, who
admit, say
thing, big
thursday, friday
thursday, wednesday
thursday, tuesday
week, weak
year, month
hold, carry
divide, part
only, one
when, where
three, four
cat, dog
give, take
tuesday, wednesday
tuesday, thursday
seem, be
seem, like
move, go
feed, eat
price, pay
price, buy
stick, bone
lock, key
dog, cat
dog, bone
pull, push
straight, narrow
small, penis
small, young
own, have
own, keep
night, dark
night, late
summer, heat
summer, dry
baby, boy
baby, girl
they, other
see, look
town, village
green, grass
idea, thought
milk, cow
believe, religion
feel, love
feel, touch
in, inside
month, august
month, year
blood, red
meet, meat
touch, feel
sun, moon
sun, sky
air, cloud
right, left
chair, sit
strike, hit
watch, look
monday, tuesday
monday, wednesday
monday, thursday
fire, shoot
key, lock
walk, run
down, up
hour, time
eight, child
become, be
shut, door
die, old
god, open
god, sky
quiet, small
kid, goat
worry, sad
tomorrow, yesterday
say, talk
tax, money
drop, fall
drop, hard
join, yoke
home, house
address, house
deep, sea
come, go
come, see
i, me
i, eye
load, heavy
east, west
come, go
take, give
before, after
south, north
south, east
south, west
bring, take
bring, carry
wear, clothes
look, watch
mind, brain
sell, buy
sell, market
flat, smooth
flat, thin
no, yes
clock, time
listen, hear
listen, ear
have, own
fall, autumn
fall, down
fall, back
thousand, one
which, one
difficult, hard
wife, husband
wednesday, tuesday
leave, left
morning, dawn
house, home
pair, two
here, now
here, this
load, heavy
play, run
door, open
with, together
with, and
carry, bring
shop, store
clear, window
listen, quiet
village, town
village, people
village, hut
who, person
lord, god
thou, you
own, i
bottom, top
get, understand
middle, name
always, now
hair, head
increase, grow
this, what
this, i
north, down
north, south
room, house
forget, remember
up, down
up, high
up, happy
arm, leg
arm, hand
arm, finger
cat, dog
arrange, prepare
age, old
how, when
how, why
how, who
farm, field
game, play
top, bottom
car, train
take, steal
only, one
only, alone
post, mail
clean, empty
clean, white
difficult, hard
monday, tuesday
son, daughter
son, sun
speak, talk
speak, language
speak, study
admit, tell
answer, tell
fight, battle
first, one
inside, outside
house, home
flat, straight
week, seven
music, dance
music, sing
four, five
father, old
separate, split
we, you
night, dark
well, then
all, together
weigh, weight
weigh, measure
want, desire
cut, chop
wind, air
world, peace
throw, ball
young, child
round, ball
from, where
child, baby
dear, expensive
wear, clothes
blue, sky
south, north
court, judge
court, law
teach, school
hold, grasp
hold, tie
do, change
where, how
minister, government
enter, put
bus, car
right, left
board, wood
thousand, money
man, boy
laugh, smile
show, tell
very, busy
cause, reason
wife, woman
wife, husband
rest, sleep
rest, calm
left, right
shoot, kill
yesterday, sun
yesterday, sleep
leg, arm
pull, push
tax, money
drink, water
sit, chair
sit, stand
woman, man
street, road
start, begin
jump, run
happy, happiness
happy, joy
buy, money
ball, testicles
walk, run
until, when
full, stomach
green, blue
town, country
town, village
good, bad
black, red
black, white
keep, hold
pick, choose
tell, show
water, drink
water, swim
water, hot
milk, cow
leave, leaf
leave, left
build, house
similar, same
cover, blanket
behind, late
what, which
piece, slice
soon, now
soon, ready
no, never
mind, brain
hour, time
money, finish
yes, no
husband, wife
look, book
hear, ear
same, similar
country, land
power, strength
east, west
sing, music
sing, dance
window, glass
fill, pour
believe, religion
believe, hope
early, morning
warm, summer
seem, believe
far, long
sun, moon
sun, sky
summer, winter
eye, see
eye, full
lock, key
watch, see
watch, look
idea, thought
word, language
field, grass
govern, king
start, begin
early, morning
look, see
eat, drink
eat, food
increase, grow
here, there
some, nothing
nine, ten
long, tall
what, if
what, who
what, where
part, slice
club, hit
king, queen
protect, guard
put, give
table, chair
table, meal
blue, red
blue, yellow
blue, green
sleep, rest
sleep, dream
idea, thought
court, judge
divide, split
hard, difficult
food, eat
food, meal
now, immediately
milk, cow
fall, down
fall, autumn
ring, finger
ring, circle
pull, push
lock, padlock
child, baby
child, small
laugh, happy
have, get
